Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPJY383340,PRESCHOOL-SEASONAL TOYS,Fisher-Price Preschool Pets Mix N' Matchimals,97,9.99,969.03,Fisher-Price,194735235797,89960128,China,TOYS,NEW,PRESCHOOL SEASONAL TOYS,204,PLAY,TOYS,N,PTBQ11556,FP CORE,urc_preschool_seasonal_toys_20260327_058_p
LPJE094368,PRESCHOOL-SEASONAL TOYS,LEGO Creator Christmas Chimney Fun with Santa 30692,1500,4.24,6360.00,LEGO,673419406918,94712591,Mexico,TOYS,NEW,PRESCHOOL SEASONAL TOYS,204,PLAY,TOYS,N,PTBQ11547,NEW ITEMS,urc_preschool_seasonal_toys_20260327_058_p
LPJY383386,PRESCHOOL-SEASONAL TOYS,"Squishmallows Sunny’s Park Life Building Set - 155pc: BLDR, Enhances Fine Motor Skills, Plastic (Please be advised that sets may be missing pieces or otherwise incomplete.)",1065,8.99,9574.35,Squishmallows; BLDR,191726759843,92680348,China,TOYS,NEW,PRESCHOOL SEASONAL TOYS,204,PLAY,TOYS,N,PTBQ32681,BLDR,urc_preschool_seasonal_toys_20260327_058_p
