Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPTG4013922,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",2,209.99,419.98,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00026,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3985004,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",2,209.99,419.98,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00001,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3935630,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,299.99,299.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ03821,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3935632,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,299.99,299.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ03821,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3958996,BICYCLES-PHYSICAL FITNESS,"Schwinn Piston 20"" Youth Bike - Silver",2,144.49,288.98,Schwinn,038675290990,92401143,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02598,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3771526,BICYCLES-PHYSICAL FITNESS,"Hyper 20"" Full Suspension Bear Mountain Bike - Black/Blue: 7-Speed, Steel Frame",2,139.99,279.98,Hyper Bicycles; Hyper,690995300447,92451120,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBF24381,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4073154,BICYCLES-PHYSICAL FITNESS,"Schwinn Men's Trailway 700c/28"" Hybrid Bike - Blue",1,244.99,244.99,Schwinn,038675237582,80371744,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI43343,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG3983505,BICYCLES-PHYSICAL FITNESS,"Schwinn Women's Trailway 700c/28"" Hybrid Bike - Blue",1,244.99,244.99,Schwinn,038675237599,80371743,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15692,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG3958457,BICYCLES-PHYSICAL FITNESS,"Schwinn Men's Trailway 700c/28"" Hybrid Bike - Blue",1,244.99,244.99,Schwinn,038675237582,80371744,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15733,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG3817999,BICYCLES-PHYSICAL FITNESS,"Schwinn Men's Trailway 700c/28"" Hybrid Bike - Blue",1,244.99,244.99,Schwinn,038675237582,80371744,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00002,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG3935629,BICYCLES-PHYSICAL FITNESS,"Schwinn Astrid 20"" Kids' Bike - Gray",2,169.99,339.98,Schwinn,038675177482,54051740,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ03821,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3935631,BICYCLES-PHYSICAL FITNESS,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",1,329.99,329.99,Kent,016751227405,89514027,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ03821,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG4902171,BICYCLES-PHYSICAL FITNESS,"Schwinn Women's Trailway 700c/28"" Hybrid Bike - Blue",1,244.99,244.99,Schwinn,038675237599,80371743,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI43400,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG3815395,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Blue",1,230.99,230.99,Schwinn,038675283565,89538608,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ36918,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
